Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,20.25,24.15,20.00,24.120001,6792800,24.120001
2017-02-01,19.129999,22.620001,19.10,20.809999,1598900,20.809999
2017-01-03,22.129999,23.709999,17.74,19.10,1768400,19.10
2016-12-01,20.809999,22.01,17.610001,21.83,1948500,21.83
2016-11-01,23.83,26.32,19.200001,21.219999,1953000,21.219999
2016-10-03,27.200001,28.42,23.719999,23.950001,1079300,23.950001
2016-09-01,27.040001,29.299999,26.07,27.26,1323400,27.26
2016-08-01,34.439999,35.400002,26.57,26.92,1257900,26.92
2016-07-01,28.50,34.310001,28.280001,34.23,1222000,34.23
2016-06-01,29.889999,31.92,26.27,28.49,1445400,28.49
2016-05-02,25.639999,31.48,19.18,29.889999,2751400,29.889999
2016-04-01,23.25,28.540001,22.780001,25.450001,1468300,25.450001
2016-03-01,26.74,26.940001,17.57,23.530001,2650800,23.530001
2016-02-01,26.07,28.15,22.190001,26.59,1337100,26.59
2016-01-04,36.720001,39.459999,24.82,25.99,2661300,25.99
2015-12-01,33.50,37.860001,32.970001,37.310001,1402000,37.310001
2015-11-02,26.709999,34.419998,26.25,33.299999,1408900,33.299999
2015-10-01,28.68,30.98,19.08,26.74,1782500,26.74
2015-09-01,38.91,40.34,26.299999,28.51,1255600,28.51
2015-08-03,46.439999,46.639999,33.00,39.790001,1080200,39.790001
2015-07-01,44.169998,47.349998,41.080002,46.110001,1191200,46.110001
2015-06-01,46.169998,48.529999,42.389999,43.66,1767600,43.66
2015-05-01,41.669998,46.709999,38.630001,45.900002,1899300,45.900002
2015-04-01,47.279999,57.099998,41.259998,41.639999,2644500,41.639999
2015-03-02,53.599998,53.990002,41.18,47.509998,3075600,47.509998
2015-02-02,43.369999,55.860001,41.810001,53.810001,1717000,53.810001
2015-01-02,36.540001,44.299999,35.450001,42.580002,2172100,42.580002
2014-12-01,39.82,42.540001,35.330002,36.200001,1232700,36.200001
2014-11-03,44.75,45.00,34.02,40.07,1932900,40.07
2014-10-01,36.16,45.25,33.16,44.549999,1461000,44.549999
2014-09-02,39.119999,39.389999,35.330002,36.27,1366500,36.27
2014-08-01,33.919998,39.48,31.85,39.02,1285700,39.02
2014-07-01,34.169998,37.080002,31.34,33.93,1089800,33.93
2014-06-02,27.620001,33.310001,27.09,33.25,1061500,33.25
2014-05-01,25.17,29.620001,24.26,27.969999,940700,27.969999
2014-04-01,22.110001,25.24,20.52,25.219999,786900,25.219999
2014-03-03,24.540001,24.98,20.629999,22.00,1348900,22.00
2014-02-03,22.629999,28.00,21.120001,25.82,897300,25.82
2014-01-02,24.67,24.90,21.139999,22.700001,886800,22.700001
2013-12-02,25.879999,26.129999,24.00,24.620001,929000,24.620001
2013-11-01,20.370001,26.16,20.08,25.75,810000,25.75
2013-10-01,19.67,21.41,19.030001,20.440001,690600,20.440001
2013-09-03,17.959999,20.219999,17.77,19.68,986400,19.68
2013-08-01,14.29,18.98,14.11,17.969999,857400,17.969999
2013-07-01,13.60,14.48,13.34,14.19,519900,14.19
2013-06-03,14.57,14.76,12.91,13.52,682800,13.52
2013-05-01,15.00,15.49,12.86,14.53,630500,14.53
2013-04-01,13.83,15.22,13.25,15.05,554400,15.05
2013-03-01,13.64,14.43,13.24,13.83,627200,13.83
2013-02-01,13.17,14.00,12.50,13.81,804100,13.81
2013-01-02,13.69,14.70,12.44,13.09,956100,13.09
2012-12-03,13.46,13.75,12.66,13.36,710300,13.36
2012-11-01,11.99,13.77,11.73,13.49,762600,13.49
2012-10-01,13.33,13.72,11.81,12.01,743900,12.01
2012-09-04,13.87,14.95,11.99,13.22,1412500,13.22
2012-08-01,13.69,14.57,12.41,13.84,1103300,13.84
2012-07-02,15.80,16.870001,13.02,13.67,1550800,13.67
2012-06-01,13.46,16.09,13.24,15.77,1250000,15.77
2012-05-01,12.12,13.98,11.19,13.65,1057400,13.65
2012-04-02,11.67,12.75,10.53,12.13,1192600,12.13
2012-03-01,12.59,13.09,11.00,11.70,1268000,11.70
2012-02-01,11.50,13.00,11.38,12.53,1775400,12.53
2012-01-03,11.31,11.65,10.52,11.46,1174900,11.46
2011-12-01,10.75,11.77,9.47,11.12,1332000,11.12
2011-11-01,8.99,10.85,8.74,10.76,1392500,10.76
2011-10-03,7.72,9.50,7.10,8.99,1147800,8.99
2011-09-01,8.05,9.50,7.70,7.80,1121200,7.80
2011-08-01,7.01,8.20,6.86,8.04,1232300,8.04
2011-07-01,6.99,7.62,6.63,6.93,851900,6.93
2011-06-01,6.79,7.15,6.18,7.00,920100,7.00
2011-05-02,6.67,7.08,6.00,6.81,947400,6.81
2011-04-01,5.82,6.78,5.66,6.62,522900,6.62
2011-03-01,5.96,6.00,4.97,5.77,529800,5.77
2011-02-01,5.20,5.64,5.00,5.59,416700,5.59
2011-01-03,6.11,6.20,4.87,5.00,573700,5.00
2010-12-01,5.38,6.50,5.16,6.07,519700,6.07
2010-11-01,4.46,5.54,4.37,5.31,634900,5.31
2010-10-01,4.08,4.77,3.86,4.47,638700,4.47
2010-09-01,3.46,4.07,3.32,4.04,652200,4.04
2010-08-02,3.71,3.80,2.95,3.40,616700,3.40
2010-07-01,2.96,3.75,2.80,3.64,647100,3.64
2010-06-01,2.86,3.31,2.59,2.97,741600,2.97
2010-05-03,2.14,3.04,2.11,2.89,1050700,2.89
2010-04-01,1.54,2.30,1.36,2.10,595600,2.10
2010-03-01,1.53,1.74,1.40,1.53,196100,1.53
2010-02-01,1.59,1.67,1.27,1.52,221900,1.52
2010-01-04,1.82,1.89,1.56,1.59,271800,1.59
2009-12-01,1.64,2.00,1.60,1.79,281800,1.79
