GPS,Date,Open,High,Low,Close,Volume,Adj Close
GPS,2017-02-01,23.120001,25.34,22.139999,24.82,6255400,24.82
GPS,2017-01-03,22.719999,24.93,22.030001,23.030001,7318200,23.030001
GPS,2016-12-01,24.860001,26.75,22.25,22.440001,5583200,22.440001
GPS,2016-11-01,27.059999,30.74,24.799999,24.969999,8050600,24.717333
GPS,2016-10-03,21.889999,27.610001,21.57,27.59,5990900,27.310823
GPS,2016-09-01,25.00,25.02,21.700001,22.24,5399500,21.787285
GPS,2016-08-01,25.59,27.190001,22.950001,24.870001,7189200,24.36375
GPS,2016-07-01,20.969999,25.950001,20.73,25.790001,7240800,25.265022
GPS,2016-06-01,17.940001,21.24,17.73,21.219999,6985900,20.562729
GPS,2016-05-02,23.10,23.209999,17.00,17.99,10581000,17.432775
GPS,2016-04-01,29.24,30.10,23.00,23.18,6647900,22.462021
GPS,2016-03-01,27.709999,30.49,27.700001,29.40,5792600,28.266939
GPS,2016-02-01,24.49,27.940001,22.030001,27.65,7056200,26.584383
GPS,2016-01-04,24.120001,26.799999,21.57,24.719999,7766800,23.767303
GPS,2015-12-01,26.73,27.309999,24.549999,24.700001,5508100,23.526939
GPS,2015-11-02,27.15,28.65,24.700001,26.73,6532900,25.460529
GPS,2015-10-01,28.450001,29.200001,25.969999,27.219999,5791400,25.927258
GPS,2015-09-01,32.25,33.279999,27.629999,28.50,6526400,26.923162
GPS,2015-08-03,36.48,36.50,30.75,32.810001,5213100,30.994701
GPS,2015-07-01,38.369999,39.00,35.580002,36.48,4197700,34.461647
GPS,2015-06-01,38.32,39.59,37.50,38.169998,3874300,35.843399
GPS,2015-05-01,39.799999,40.639999,37.709999,38.330002,4953900,35.993649
GPS,2015-04-01,43.169998,43.290001,39.369999,39.639999,3268600,37.223797
GPS,2015-03-02,41.279999,43.900002,40.32,43.330002,3882900,40.468788
GPS,2015-02-02,41.18,42.50,39.700001,41.599998,5389300,38.85302
GPS,2015-01-02,42.369999,43.849998,39.279999,41.189999,4051000,38.470093
GPS,2014-12-01,39.290001,42.52,38.939999,42.110001,3442200,39.123825
GPS,2014-11-03,38.029999,40.619999,37.099998,39.599998,4955500,36.791813
GPS,2014-10-01,41.630001,42.41,35.459999,37.889999,6942600,35.203079
GPS,2014-09-02,46.310001,46.849998,41.529999,41.689999,3572400,38.530716
GPS,2014-08-01,40.080002,46.610001,39.549999,46.150002,3851300,42.652737
GPS,2014-07-01,41.549999,42.110001,38.98,40.110001,3532200,37.07045
GPS,2014-06-02,41.349998,42.369999,40.540001,41.57,2517700,38.218563
GPS,2014-05-01,39.43,41.68,38.380001,41.23,4066100,37.905975
GPS,2014-04-01,40.490002,42.709999,37.00,39.299999,5786700,36.131573
GPS,2014-03-03,43.27,43.700001,39.66,40.060001,4554000,36.634445
GPS,2014-02-03,38.02,44.59,37.099998,43.75,6185800,40.008907
GPS,2014-01-02,39.09,40.080002,36.57,38.080002,6547100,34.823757
GPS,2013-12-02,41.27,42.330002,38.009998,39.080002,4430600,35.557384
GPS,2013-11-01,37.00,42.450001,36.389999,40.970001,4740000,37.277023
GPS,2013-10-01,40.27,40.990002,36.130001,36.990002,5644000,33.655773
GPS,2013-09-03,40.75,42.66,39.900002,40.279999,3680100,36.464489
GPS,2013-08-01,46.380001,46.560001,40.330002,40.439999,3780500,36.609333
GPS,2013-07-01,41.939999,46.419998,41.939999,45.900002,2603600,41.552139
GPS,2013-06-03,40.549999,42.450001,39.959999,41.73,3597900,37.646275
GPS,2013-05-01,37.939999,41.860001,37.560001,40.549999,4114200,36.581749
GPS,2013-04-01,35.330002,38.23,35.099998,37.990002,3848600,34.272274
GPS,2013-03-01,33.700001,36.869999,32.91,35.400002,4717800,31.805027
GPS,2013-02-01,32.889999,33.880001,31.190001,32.919998,5820000,29.576876
GPS,2013-01-02,31.57,33.59,30.65,32.68,4495100,29.36125
GPS,2012-12-03,34.52,34.689999,29.84,31.040001,8135500,27.887796
GPS,2012-11-01,35.73,36.150002,32.540001,34.459999,5547200,30.834383
GPS,2012-10-01,35.98,37.849998,34.57,35.720001,4566400,31.961817
GPS,2012-09-04,35.709999,36.73,34.790001,35.779999,6546200,31.907635
GPS,2012-08-01,29.629999,36.599998,29.40,35.82,7372100,31.943306
GPS,2012-07-02,27.530001,30.200001,26.57,29.49,5680500,26.298384
GPS,2012-06-01,26.059999,27.799999,25.02,27.360001,6763500,24.398909
GPS,2012-05-01,28.610001,29.23,25.309999,26.50,8117900,23.519918
GPS,2012-04-02,26.370001,29.01,25.190001,28.50,8771400,25.295006
GPS,2012-03-01,25.43,27.00,24.17,26.139999,7742000,23.090717
GPS,2012-02-01,19.10,23.77,19.09,23.360001,8890100,20.635012
GPS,2012-01-03,18.799999,19.67,17.75,18.98,6168800,16.765945
GPS,2011-12-01,18.58,19.25,17.709999,18.549999,3825800,16.386106
GPS,2011-11-01,18.360001,20.41,17.620001,18.690001,6675200,16.410648
GPS,2011-10-03,16.00,19.68,15.71,18.90,6525700,16.595036
