Date,Open,High,Low,Close,Volume,Adj Close
2017-03-01,68.019997,68.379997,65.629997,67.07,5480500,67.07
2017-02-01,66.019997,69.529999,65.459999,68.580002,2535800,68.580002
2017-01-03,66.019997,68.360001,64.580002,66.110001,2136500,66.110001
2016-12-01,67.459999,69.529999,65.489998,65.599998,2968300,65.599998
2016-11-01,62.400002,69.809998,61.00,67.589996,3679100,67.454536
2016-10-03,63.970001,65.400002,61.779999,62.540001,2255000,62.414661
2016-09-01,62.459999,64.620003,60.77,64.300003,2263500,64.171135
2016-08-01,61.720001,66.279999,59.57,62.240002,3192400,62.115265
2016-07-01,56.549999,62.349998,55.889999,61.830002,2457700,61.572372
2016-06-01,53.470001,56.73,52.060001,56.689999,3222500,56.453789
2016-05-02,57.07,58.50,52.00,53.400002,3581500,53.043785
2016-04-01,57.889999,59.009998,55.439999,56.779999,2280100,56.401237
2016-03-01,55.450001,59.68,55.360001,57.900002,3045700,57.513767
2016-02-01,56.259998,57.189999,52.110001,54.98,3948500,54.482937
2016-01-04,53.00,56.32,50.419998,56.259998,3268900,55.751366
2015-12-01,52.529999,55.639999,51.91,53.810001,2625300,53.323517
2015-11-02,50.25,53.049999,43.470001,52.009998,4025500,51.427494
2015-10-01,48.48,51.549999,47.119999,50.580002,2675300,50.013515
2015-09-01,47.619999,51.27,46.970001,48.470001,2823200,47.927147
2015-08-03,53.25,56.68,46.599998,48.619999,3564100,47.955959
2015-07-01,48.959999,53.50,48.82,53.16,2035000,52.433952
2015-06-01,96.809998,98.660004,47.869999,48.610001,2218300,47.946098
2015-05-01,99.139999,104.760002,95.220001,96.669998,3238700,47.560364
2015-04-01,105.00,105.339996,98.440002,98.879997,2454600,48.647655
2015-03-02,105.410004,108.910004,103.50,105.360001,2625100,51.835732
2015-02-02,92.010002,106.230003,89.449997,105.809998,3071400,51.940746
2015-01-02,94.839996,97.779999,89.75,91.709999,3361600,45.019241
2014-12-01,91.25,96.190002,88.940002,94.260002,2445400,46.271004
2014-11-03,80.739998,91.989998,79.470001,91.480003,3715400,44.807308
2014-10-01,75.440002,82.00,74.720001,80.720001,3480700,39.537014
2014-09-02,75.43,77.029999,74.019997,75.580002,2899300,37.019421
2014-08-01,64.489998,75.660004,64.160004,75.419998,3962200,36.84354
2014-07-01,66.540001,67.790001,61.830002,64.400002,3842600,31.460144
2014-06-02,68.470001,69.900002,65.449997,66.129997,3017300,32.305267
2014-05-01,68.269997,70.589996,66.93,68.449997,4226100,33.341267
2014-04-01,72.010002,74.279999,67.610001,68.080002,3008800,33.161045
2014-03-03,72.910004,74.93,70.660004,71.57,3410900,34.860985
2014-02-03,68.00,73.900002,65.150002,72.800003,5633700,35.361538
2014-01-02,74.349998,75.349998,67.00,67.910004,4330400,32.986294
2013-12-02,75.959999,76.080002,70.290001,74.93,3974500,36.396156
2013-11-01,77.75,81.989998,73.00,76.459999,3858500,37.051811
2013-10-01,73.00,77.75,69.150002,77.349998,2692000,37.483097
2013-09-03,68.269997,73.00,67.309998,72.800003,2688600,35.27821
2013-08-01,67.900002,70.860001,64.650002,67.260002,3582300,32.512272
2013-07-01,65.300003,67.940002,64.639999,67.489998,2409900,32.623447
2013-06-03,64.43,65.949997,62.650002,64.809998,2646000,31.327984
2013-05-01,65.959999,66.599998,63.709999,64.32,3460800,31.008099
2013-04-01,60.490002,66.120003,58.599998,66.07,4574900,31.851759
2013-03-01,57.889999,60.68,54.860001,60.619999,6374400,29.224361
2013-02-01,60.169998,62.07,56.18,58.00,4766800,27.961285
2013-01-02,54.27,61.349998,53.040001,59.700001,5040200,28.699198
2012-12-03,57.41,57.619999,52.009998,54.09,4377900,26.002338
2012-11-01,59.75,59.75,52.25,57.080002,6439000,27.372402
2012-10-01,64.550003,67.050003,59.400002,60.950001,4596500,29.228239
2012-09-04,69.139999,69.690002,62.52,64.589996,4085100,30.97378
2012-08-01,66.910004,70.82,65.510002,69.190002,3729200,33.179688
2012-07-02,62.509998,70.040001,62.27,66.440002,4235200,31.796824
2012-06-01,62.560001,69.459999,59.75,62.470001,5357900,29.896862
2012-05-01,61.580002,64.790001,57.369999,63.23,5099200,30.193581
2012-04-02,58.220001,62.549999,56.959999,61.50,4209300,29.367472
2012-03-01,54.220001,59.349998,53.509998,58.099998,4117700,27.743904
2012-02-01,51.009998,53.709999,50.91,53.330002,3772200,25.466135
2012-01-03,48.470001,52.709999,47.049999,50.82,4939600,24.202097
2011-12-01,89.290001,95.239998,46.130001,47.529999,3832700,22.635294
2011-11-01,86.620003,91.43,83.980003,89.089996,4349500,21.213743
2011-10-03,78.739998,89.25,74.480003,87.730003,5094600,20.836054
2011-09-01,76.760002,82.980003,71.550003,78.690002,5771900,18.689035
2011-08-01,76.099998,77.68,67.00,76.550003,7886900,18.180782
2011-07-01,80.370003,81.720001,75.00,75.769997,4932000,17.943735
2011-06-01,81.940002,82.550003,74.489998,80.120003,4731000,18.973898
2011-05-02,74.169998,83.110001,72.459999,81.959999,6333400,19.356333
2011-04-01,71.339996,74.239998,69.629997,73.690002,4690100,17.403223
2011-03-01,72.550003,72.860001,67.449997,71.120003,4873700,16.796272
2011-02-01,65.440002,72.699997,64.440002,72.040001,4840200,17.013546
2011-01-03,64.019997,67.449997,60.150002,65.199997,5274200,15.350213
2010-12-01,65.50,66.580002,61.880001,63.25,4559300,14.89112
2010-11-01,59.25,65.699997,59.080002,64.879997,6791700,15.237619
2010-10-01,55.150002,59.240002,53.310001,58.990002,7193000,13.854304
2010-09-01,50.380001,56.619999,49.919998,54.66,6686300,12.837366
2010-08-02,52.990002,53.32,48.709999,49.630001,8549800,11.656028
2010-07-01,53.18,56.009998,51.380001,52.66,7949500,12.328356
2010-06-01,52.299999,58.16,52.279999,53.290001,8544700,12.475846
2010-05-03,56.07,57.450001,50.09,52.400002,9509700,12.231406
2010-04-01,53.82,58.93,53.150002,56.00,8014700,13.071732
2010-03-01,49.060001,54.98,48.369999,53.470001,10531500,12.48117
2010-02-01,46.27,49.07,44.919998,48.919998,8842100,11.41909
2010-01-04,42.77,46.93,42.299999,45.93,11814400,10.684351
2009-12-01,44.18,45.689999,42.400002,42.709999,12980500,9.935307
2009-11-02,44.290001,47.360001,43.259998,43.98,7652000,10.205013
2009-10-01,47.77,50.50,43.73,44.009998,9077500,10.211974
2009-09-01,46.360001,48.580002,44.669998,47.77,6248900,11.084436
2009-08-03,43.200001,47.310001,41.639999,46.639999,8122100,10.796709
2009-07-01,38.970001,45.75,37.509998,44.07,9355100,10.201779
2009-06-01,39.41,40.830002,37.73,38.599998,9961000,8.935527
2009-05-01,38.18,40.25,34.740002,39.16,13357200,9.040332
2009-04-01,35.349998,41.029999,34.869999,37.939999,13832900,8.758687
2009-03-02,29.040001,36.98,28.66,35.880001,12715700,8.283124
2009-02-02,29.440001,32.869999,28.08,29.52,10535700,6.814878
2009-01-02,29.77,31.940001,29.02,29.42,10126000,6.767136
2008-12-01,25.780001,30.440001,23.459999,29.73,8502400,6.838441
2008-11-03,32.75,33.32,21.700001,26.50,11909200,6.075739
2008-10-01,37.049999,37.150002,25.139999,32.689999,14132600,7.49494
2008-09-02,40.299999,41.560001,35.150002,36.810001,14784200,8.439546
2008-08-01,38.689999,41.450001,37.080002,40.209999,11229800,9.19732
2008-07-01,35.279999,40.18,34.880001,37.959999,12681200,8.682673
2008-06-02,36.450001,38.700001,35.189999,35.52,11129500,8.124566
2008-05-01,33.41,37.07,33.07,36.619999,13370400,8.354172
2008-04-01,30.41,34.580002,29.08,33.490002,10009800,7.640121
2008-03-03,27.90,31.10,26.83,29.959999,10736600,6.834816
2008-02-01,29.08,29.90,26.790001,27.85,8324900,6.353459
2008-01-02,25.469999,29.59,21.23,29.15,11033800,6.626872
2007-12-03,26.120001,27.879999,24.42,25.57,6526900,5.813005
2007-11-01,26.780001,27.77,24.57,26.379999,7519200,5.980816
2007-10-01,25.629999,29.50,25.42,27.02,7154100,6.125916
2007-09-04,27.73,27.99,25.379999,25.639999,7180500,5.813046
2007-08-01,28.99,30.51,25.879999,27.83,10781600,6.292249
2007-07-02,30.85,31.879999,28.91,28.93,7700000,6.540955
2007-06-01,33.150002,33.389999,30.540001,30.799999,6781400,6.963754
2007-05-01,33.220001,34.689999,31.93,32.84,6775400,7.407181
2007-04-02,34.52,35.169998,33.09,33.150002,4902800,7.477103
2007-03-01,32.080002,34.84,30.799999,34.400002,5889200,7.759045
2007-02-01,32.540001,35.00,31.879999,32.77,5526700,7.391392
2007-01-03,29.299999,33.630001,29.299999,32.389999,6257300,7.289804
2006-12-01,30.870001,31.15,29.190001,29.299999,4364700,6.594358
2006-11-01,29.66,31.799999,28.559999,30.950001,7180300,6.951924
2006-10-02,25.530001,31.00,25.030001,29.43,6326900,6.610505
2006-09-01,24.629999,26.540001,24.049999,25.41,5323300,5.707541
2006-08-01,24.75,24.92,22.120001,24.49,7709100,5.500892
2006-07-03,28.02,28.309999,24.35,24.889999,4699600,5.576627
2006-06-01,28.10,28.879999,26.200001,28.049999,4683700,6.284628
2006-05-01,30.639999,31.030001,26.99,28.25,5883100,6.315373
2006-04-03,29.219999,30.780001,28.65,30.639999,4593600,6.849665
2006-03-01,28.459999,29.49,27.08,29.190001,4685100,6.525513
2006-02-01,28.290001,28.690001,26.559999,28.32,5285600,6.331022
2006-01-03,28.75,31.040001,27.16,28.50,6838600,6.356949
2005-12-01,27.60,29.74,27.01,28.90,4706600,6.446169
2005-11-01,27.049999,28.059999,24.889999,27.50,7026400,6.120755
2005-10-03,24.27,27.18,23.870001,27.040001,8573200,6.018371
2005-09-01,24.950001,25.389999,22.34,23.700001,7233100,5.274978
2005-08-01,26.51,27.290001,24.389999,24.83,6950700,5.526485
2005-07-01,28.90,29.68,26.40,26.50,6255600,5.886304
2005-06-01,28.200001,30.51,28.01,28.91,4227500,6.421625
2005-05-02,26.870001,28.52,25.00,28.190001,5398700,6.250925
2005-04-01,29.33,29.440001,26.08,26.719999,4509100,5.924963
2005-03-01,27.950001,31.370001,27.469999,29.139999,5296500,6.461581
2005-02-01,28.75,29.780001,26.940001,28.00,4532900,6.208794
2005-01-03,28.83,29.92,27.35,28.620001,6101100,6.334579
2004-12-01,26.809999,29.01,26.549999,28.870001,2948000,6.389912
2004-11-01,26.15,28.65,25.83,26.90,5190100,5.944419
2004-10-01,23.32,26.32,22.59,26.27,6471900,5.805201
2004-09-01,21.190001,24.26,20.959999,23.440001,4942500,5.179821
2004-08-02,23.040001,24.73,20.950001,21.15,7668200,4.673772
2004-07-01,27.09,27.09,22.32,23.15,7247100,5.105433
2004-06-01,26.00,28.219999,24.809999,26.76,6249500,5.901572
2004-05-03,30.610001,31.32,23.26,26.190001,11510400,5.766134
2004-04-01,30.25,31.85,29.889999,30.450001,4387800,6.704039
2004-03-01,32.34,32.860001,28.049999,30.629999,6925900,6.743668
2004-02-02,28.75,32.50,27.790001,32.049999,5203300,7.056303
2004-01-02,26.73,28.959999,26.07,27.85,4277200,6.123246
2003-12-01,55.009998,56.150002,25.91,26.459999,5654400,5.817634
2003-11-03,50.18,55.290001,50.110001,54.779999,6734000,6.022108
2003-10-01,46.52,53.790001,46.369999,50.099998,6901400,5.501806
2003-09-02,50.490002,52.099998,45.810001,46.389999,6503100,5.094387
2003-08-01,45.810001,50.52,44.299999,50.27,7300800,5.514106
2003-07-01,42.540001,46.049999,41.709999,45.439999,6131700,4.984304
2003-06-02,42.150002,44.529999,40.439999,42.959999,9309200,4.712273
2003-05-01,37.549999,42.77,36.700001,42.220001,11781800,4.624711
2003-04-01,36.880001,39.48,35.580002,37.889999,9143800,4.150409
2003-03-03,34.220001,39.259998,32.580002,36.110001,10821500,3.955431
2003-02-03,39.220001,40.00,33.049999,34.209999,15764400,3.747308
2003-01-02,42.779999,47.77,37.82,39.009998,15680200,4.265958
2002-12-02,46.630001,47.240002,40.00,42.389999,11049000,4.63558
2002-11-01,42.00,46.700001,41.349998,46.25,7298900,5.052248
2002-10-01,35.400002,45.490002,33.41,41.849998,10615800,4.571601
2002-09-03,36.099998,42.59,34.299999,35.639999,8238900,3.893234
2002-08-01,37.369999,38.970001,31.85,36.110001,8687300,3.944577
2002-07-01,40.799999,41.73,34.400002,37.66,8749200,4.108393
2002-06-03,41.950001,44.00,39.16,40.75,6255800,4.445486
2002-05-01,40.450001,43.16,39.07,42.16,4741700,4.594222
2002-04-01,36.900002,40.700001,34.380001,40.610001,5500300,4.425317
2002-03-01,36.240002,38.91,33.130001,37.830002,7253900,4.122377
2002-02-01,36.32,37.18,34.310001,36.060001,7776800,3.929498
2002-01-02,32.450001,36.549999,31.700001,36.330002,9201400,3.953648
2001-12-03,28.209999,34.130001,27.309999,32.080002,7331400,3.491138
2001-11-01,31.60,33.389999,27.25,28.209999,10680900,3.065577
2001-10-01,28.84,32.810001,26.60,31.299999,10354200,3.401366
2001-09-04,29.15,31.00,24.67,29.25,15695000,3.178593
2001-08-01,23.639999,30.08,23.200001,29.299999,11439100,3.184027
2001-07-02,24.18,25.15,21.50,23.52,4923200,2.552249
2001-06-01,23.90,25.50,22.280001,23.950001,5960300,2.59891
2001-05-01,22.00,24.870001,20.940001,23.91,7660100,2.589789
2001-04-02,18.9375,22.620001,18.00,21.98,5770400,2.380743
2001-03-01,21.0625,22.25,18.375,18.75,5785000,2.030889
2001-02-01,22.9375,23.9375,20.3125,21.00,7084500,2.274595
2001-01-02,16.984301,23.00,16.5625,22.875,9344600,2.472851
2000-12-01,15.3125,17.5625,15.3125,16.875,5214800,1.824234
2000-11-01,13.1562,18.25,12.8125,15.375,8954200,1.66208
2000-10-02,14.375,15.25,12.6875,13.1875,6850400,1.422096
2000-09-01,15.3437,16.625,13.25,14.375,7045800,1.550152
2000-08-01,15.375,17.1875,14.5625,15.125,5050500,1.627125
2000-07-03,17.00,18.00,14.25,15.375,11208000,1.65402
2000-06-01,20.5937,20.625,14.375,17.0625,10465800,1.835559
2000-05-01,20.625,24.00,19.3125,21.125,5147300,2.266815
2000-04-03,23.3125,24.3125,19.125,20.75,7136600,2.226576
2000-03-01,14.375,24.125,13.6875,24.0625,10250300,2.582023
2000-02-01,13.0625,15.9375,12.125,14.50,12861300,1.551843
2000-01-03,18.0937,18.1875,12.00,12.75,15469400,1.364552
1999-12-01,19.25,20.375,17.00,17.9375,8075000,1.919737
1999-11-01,21.00,21.50,17.125,19.1875,7772600,2.04998
1999-10-01,20.125,24.0625,19.50,20.625,7632100,2.203562
1999-09-01,41.6875,42.625,18.75,20.125,6728900,2.150142
1999-08-02,48.0312,48.625,41.125,41.625,6229900,2.220114
1999-07-01,50.375,52.25,47.75,48.125,3457600,2.566798
1999-06-01,45.625,50.875,43.875,50.375,4547500,2.686804
1999-05-03,46.125,50.50,44.5625,45.9375,9162700,2.446637
1999-04-01,44.125,45.9375,41.25,45.9375,5698800,2.446637
1999-03-01,45.75,48.00,39.375,43.8125,7694600,2.333459
1999-02-01,40.00,46.875,39.75,45.75,9005800,2.433099
1999-01-04,39.5625,41.00,36.1875,39.50,11468500,2.100708
1998-12-01,35.75,39.8125,31.625,39.375,10810100,2.09406
1998-11-02,32.75,36.9375,31.1875,36.375,9850200,1.931566
1998-10-01,28.00,36.8125,23.25,32.50,11649300,1.725797
1998-09-01,36.625,37.8125,28.3125,28.625,8823400,1.520029
1998-08-03,42.375,44.75,36.00,36.375,8194400,1.928386
1998-07-01,43.25,50.00,41.625,42.0625,9077100,2.229903
1998-06-01,44.75,45.50,39.50,43.00,8849500,2.279604
1998-05-01,46.375,47.125,41.00,44.125,7084800,2.33631
1998-04-01,44.25,48.625,43.50,46.3125,7357100,2.452133
1998-03-02,39.50,44.25,37.50,44.125,9303000,2.33631
1998-02-02,33.125,39.75,32.875,39.375,8973300,2.081829
1998-01-02,36.625,37.25,32.125,32.50,7224000,1.718335
1997-12-01,39.50,42.00,32.75,36.375,6283500,1.923213
1997-11-03,38.00,42.375,36.50,39.00,4808200,2.059741
1997-10-01,34.375,39.25,33.125,37.375,5281700,1.973918
1997-09-02,29.75,36.125,29.50,34.125,6262500,1.802273
1997-08-01,32.00,33.375,28.375,29.375,10571200,1.549092
1997-07-01,32.625,34.375,27.125,31.625,11182900,1.667746
1997-06-02,28.00,33.25,27.375,32.6875,11503000,1.723777
1997-05-01,28.00,30.25,24.25,28.125,7737900,1.481073
1997-04-01,25.375,30.00,24.25,28.125,5071400,1.481073
1997-03-03,47.875,50.50,23.75,25.375,7988900,1.336257
1997-02-03,40.75,49.625,39.00,48.00,9367500,1.261587
1997-01-02,49.75,52.375,40.125,41.00,14270400,1.077606
1996-12-02,51.625,53.00,48.125,50.00,9831400,1.314154
1996-11-01,41.50,51.25,41.25,50.875,12833100,1.335349
1996-10-01,36.00,42.875,34.375,41.50,12612800,1.089277
